file,source_type
tile_01_city1.png,city1.png
tile_02_city1.png,city1.png
tile_03_city1.png,city1.png
tile_04_city1.png,city1.png
tile_05_city1.png,city1.png
tile_06_city11ne.png,city11ne.png
tile_07_city11ne.png,city11ne.png
tile_08_city11we.png,city11we.png
tile_09_city11we.png,city11we.png
tile_10_city11we.png,city11we.png
tile_11_city1rse.png,city1rse.png
tile_12_city1rse.png,city1rse.png
tile_13_city1rse.png,city1rse.png
tile_14_city1rsw.png,city1rsw.png
tile_15_city1rsw.png,city1rsw.png
tile_16_city1rsw.png,city1rsw.png
tile_17_city1rswe.png,city1rswe.png
tile_18_city1rswe.png,city1rswe.png
tile_19_city1rswe.png,city1rswe.png
tile_20_city1rwe.png,city1rwe.png
tile_21_city1rwe.png,city1rwe.png
tile_22_city1rwe.png,city1rwe.png
tile_23_city1rwe.png,city1rwe.png
tile_24_city2nw.png,city2nw.png
tile_25_city2nw.png,city2nw.png
tile_26_city2nw.png,city2nw.png
tile_27_city2nwr.png,city2nwr.png
tile_28_city2nwr.png,city2nwr.png
tile_29_city2nwr.png,city2nwr.png
tile_30_city2nws.png,city2nws.png
tile_31_city2nws.png,city2nws.png
tile_32_city2nwsr.png,city2nwsr.png
tile_33_city2nwsr.png,city2nwsr.png
tile_34_city2we.png,city2we.png
tile_35_city2wes.png,city2wes.png
tile_36_city2wes.png,city2wes.png
tile_37_city3.png,city3.png
tile_38_city3.png,city3.png
tile_39_city3.png,city3.png
tile_40_city3r.png,city3r.png
tile_41_city3s.png,city3s.png
tile_42_city3sr.png,city3sr.png
tile_43_city3sr.png,city3sr.png
tile_44_city4.png,city4.png
tile_45_cloister.png,cloister.png
tile_46_cloister.png,cloister.png
tile_47_cloister.png,cloister.png
tile_48_cloister.png,cloister.png
tile_49_cloisterr.png,cloisterr.png
tile_50_cloisterr.png,cloisterr.png
tile_51_road2ns.png,road2ns.png
tile_52_road2ns.png,road2ns.png
tile_53_road2ns.png,road2ns.png
tile_54_road2ns.png,road2ns.png
tile_55_road2ns.png,road2ns.png
tile_56_road2ns.png,road2ns.png
tile_57_road2ns.png,road2ns.png
tile_58_road2ns.png,road2ns.png
tile_59_road2sw.png,road2sw.png
tile_60_road2sw.png,road2sw.png
tile_61_road2sw.png,road2sw.png
tile_62_road2sw.png,road2sw.png
tile_63_road2sw.png,road2sw.png
tile_64_road2sw.png,road2sw.png
tile_65_road2sw.png,road2sw.png
tile_66_road2sw.png,road2sw.png
tile_67_road2sw.png,road2sw.png
tile_68_road3.png,road3.png
tile_69_road3.png,road3.png
tile_70_road3.png,road3.png
tile_71_road3.png,road3.png
tile_72_road4.png,road4.png
